06206--5,1
06206--6,3
06206--7,4
06206--8,7
06206--9,4
00656--1,29
00656--10,2
00656--10A,5
00656--11,20
00656--12,14
00656--13,10
00656--15,17
00656--2,21
00656--29,1
00656--30,49
00656--30A,25
00656--31,3
00656--5,31
00656--6,27
00868--1,70
00868--17,5
00868--19,2
00868--2,97
00868--21,7
00868--3,72
00868--4,105
00868--5-23,7
00868--6,95
00868--8,96
00868--9,2
19385--2,78
19385--3,89
19385--4,67
19385--5,89
19385--6,62
19385--7,79
19385--7A,4
19385--8,62
19385--9,87
01601--1,104
01601--2,194
01601--2A,110
01601--3,101
01601--4,81
01601--5,119
01601--6,142
01681--10,2
01681--11,3
01681--11A<,2
01681--11B<,2
01681--12A,4
01681--12B,1
01681--14,12
01681--15,2
01681--15B,4
01681--16,22
01681--18,16
01681--19,34
01681--2,4
01681--20,28
01681--21,34
01681--3,12
01681--53A,27
01681--53B,22
01681--53C,21
01681--53D,28
01681--53E,30
01681--53F,42
01681--54,29
01681--55,13
01681--56,10
01681--57,11
01681--58,6
01681--61,11
01681--68-69,5
01681--68/69,31
01681--69A,3
01681--72,7
01681--72A,2
01681--73,11
01681--73A,1
01681--74,7
01681--75,10
01742--1,1
01742--11,3
01742--12,3
01742--13,9
01742--13A,3
01742--14,5
01742--15,1
01742--16,7
01742--17,6
01742--18,2
01742--19,2
01742--1A,1
01742--2,3
01742--20,2
01742--21,3
01742--22,4
01742--23,4
01742--24,5
01742--25,3
01742--26,1
01742--27,1
01742--28,2
01742--29,6
01742--3,4
01742--30,3
01742--31,6
01742--32,3
01742--34,3
01742--35,4
01742--36,4
01742--37,2
01742--38,5
01742--39,2
01742--4,3
01742--41,1
01742--41A,4
01742--42,2
01742--43,1
01742--44,2
01742--45,3
01742--46,5
01742--47,3
01742--47A,2
01742--47B,5
01742--48,7
01742--49,1
01742--49B,2
01742--5,2
01742--50,5
01742--50A,3
01742--50B,3
01742--51,4
01742--52,2
01742--53,5
01742--53A,4
01742--53B,3
01742--54,1
01742--55,5
01742--56,7
01742--57,6
01742--57A,6
01742--58,4
01742--59,3
01742--6,5
01742--60,3
01742--60A,3
01742--61,2
01742--62,10
01742--62A,5
01742--63A,5
01742--64,4
01742--65A,3
01742--66,6
01742--67,4
01742--68,2
01742--69,2
01742--7,4
01742--70,9
01742--71,6
01742--72,2
01742--73,1
01742--74,2
01742--75,2
01742--76,5
01742--77,3
01742--78,3
01742--78A,6
01742--79,3
01742--8,4
01742--80,3
01742--9,4
01749--10,13
01749--11,16
01749--12,20
01749--13,16
01749--14,24
11074--1,3
11074--11,3
11074--13,2
11074--15,5
11074--17,2
11074--19,3
11074--21,1
11074--23,3
11074--25,4
11074--27,1
11074--29,3
11074--3,4
11074--31,3
11074--33,3
11074--35,2
11074--37,7
11074--39,1
11074--41,3
11074--43,2
11074--45,3
11074--47,2
11074--49,3
11074--5,1
11074--51,2
11074--53,2
11074--55,1
11074--57,1
11074--59,1
11074--61,7
11074--63,5
11074--65,1
11074--67,5
11074--69,4
11074--7,3
11074--9,2
17577--10,27
17577--11,20
17577--12,24
17577--12A,4
17577--13,26
17577--14,18
17577--15,15
17577--3,32
17577--4,19
17577--5,27
17577--7,33
17577--8,35
17577--9,36
01874--1,4
01874--2-4-6,4
01874--5,2
01874--6,2
01874--9,4
01970--3,88
01970--4,271
01970--4A,101
01970--5,93
01970--6,109
02276--1,3
02276--10,5
02276--11,5
02276--12,4
02276--14,4
02276--18,2
02276--1B,2
02276--1C,5
