fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
2981,118996,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,19,,,,88,uc,03839--19,36
2982,118997,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,39,,,,281,uc,03839--39,13
2983,118998,Słupsk,76-200,Słupsk,ul.,ulica,Paderewskiego,Ignacego Jana Paderewskiego,25,,,,321,uc,15532--25,11
2984,118999,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,38,,,,280,uc,03839--38,13
2985,119000,Słupsk,76-200,Słupsk,ul.,ulica,Świętopełka,Świętopełka,2,,,,262,uc,22555--2,13
2986,119002,Słupsk,76-200,Słupsk,ul.,ulica,Świętopełka,Świętopełka,1,,,,264,uc,22555--1,17
2987,119003,Słupsk,76-200,Słupsk,pl.,plac,Zwycięstwa,Zwycięstwa,4,,,,186,uc,26325--4,2
2988,119006,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,36,,,,280,uc,03839--36,1
2989,119008,Słupsk,76-200,Słupsk,ul.,ulica,Sygietyńskiego,Tadeusza Sygietyńskiego,14,,,,172,uc,21654--14,14
2990,119010,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,8,,,,46,uc,26969--8,17
2991,119012,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,33,,,,267,uc,03839--33,31
2992,119015,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,7,,,,46,uc,26969--7,27
2993,119016,Słupsk,76-200,Słupsk,ul.,ulica,Sygietyńskiego,Tadeusza Sygietyńskiego,15,,,,180,uc,21654--15,4
2994,119019,Słupsk,76-200,Słupsk,ul.,ulica,Sygietyńskiego,Tadeusza Sygietyńskiego,16,,,,174,uc,21654--16,1
2995,119023,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,21,,,,226,uc,26969--21,6
2996,119025,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,5,,,,47,uc,26969--5,1
2997,119030,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,4,,,,71,uc,26969--4,50
2998,119032,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,7,,,,90,uc,07240--7,11
2999,119034,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,22,,,,224,uc,26969--22,2
3000,119039,Słupsk,76-200,Słupsk,ul.,ulica,Filmowa,Filmowa,6,,,,109,uc,05009--6,43
3001,119041,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,12,,,,108,uc,07240--12,36
3002,119043,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,13,,,,107,uc,07240--13,21
3003,119044,Słupsk,76-200,Słupsk,ul.,ulica,Filmowa,Filmowa,7,,,,106,uc,05009--7,52
3004,119045,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,6,,,,319,uc,22238--6,8
3005,119054,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,14,,,,108,uc,07240--14,14
3006,119057,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,7,,,,315,uc,22238--7,20
3007,119065,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,17,,,,108,uc,07240--17,22
3008,119066,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,8,,,,318,uc,22238--8,86
3009,119069,Słupsk,76-200,Słupsk,ul.,ulica,Nowobramska,Nowobramska,1,,,,196,uc,14411--1,60
3010,119070,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,22,,,,286,uc,07240--22,13
3011,119071,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,15,,,,313,uc,02849--15,36
3012,119072,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,21,,,,284,uc,07240--21,23
3013,119073,Słupsk,76-200,Słupsk,ul.,ulica,Jaracza,Stefana Jaracza,20,,,,292,uc,07240--20,22
3014,119074,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,9,,,,317,uc,22238--9,10
3015,119075,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,24,,,,226,uc,26969--24,19
3016,119079,Słupsk,76-200,Słupsk,ul.,ulica,Słowackiego,Juliusza Słowackiego,2,,,,191,uc,20291--2,10
3017,119081,Słupsk,76-200,Słupsk,ul.,ulica,Jagiełły,Władysława Jagiełły,1,,,,331,uc,24494--1,13
3018,119082,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,13,,,,320,uc,02849--13,27
3019,119083,Słupsk,76-200,Słupsk,ul.,ulica,Słowackiego,Juliusza Słowackiego,3,,,,190,uc,20291--3,2
3020,119086,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,7,,,,50,uc,22723--7,12
3021,119087,Słupsk,76-200,Słupsk,ul.,ulica,Słowackiego,Juliusza Słowackiego,4,,,,190,uc,20291--4,46
3022,119088,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,12,,,,321,uc,02849--12,26
3023,119089,Słupsk,76-200,Słupsk,ul.,ulica,Mieszka I,Mieszka I,2,,,,58,uc,12832--2,10
3024,119090,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,6,,,,57,uc,22723--6,22
3027,119093,Słupsk,76-200,Słupsk,ul.,ulica,Mieszka I,Mieszka I,3,,,,53,uc,12832--3,5
3029,119095,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,17,,,,136,uc,02849--17,86
3030,119097,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,1,,,,241,uc,22723--1,17
3032,119099,Słupsk,76-200,Słupsk,ul.,ulica,Mieszka I,Mieszka I,4,,,,64,uc,12832--4,15
3033,119100,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,11,,,,320,uc,02849--11,29
3034,119101,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,2,,,,237,uc,22723--2,19
3035,119104,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,3,,,,235,uc,22723--3,24
3036,119105,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,4,,,,169,uc,22723--4,8
3037,119107,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,10,,,,314,uc,02849--10,16
3038,119108,Słupsk,76-200,Słupsk,ul.,ulica,Teatralna,Teatralna,5,,,,349,uc,22723--5,29
3041,119113,Słupsk,76-200,Słupsk,ul.,ulica,Słowackiego,Juliusza Słowackiego,5,,,,190,uc,20291--5,9
3042,119114,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,9,,,,313,uc,02849--9,27
3043,119115,Słupsk,76-200,Słupsk,ul.,ulica,Słowackiego,Juliusza Słowackiego,43,,,,9,uc,20291--43,12
3044,119118,Słupsk,76-200,Słupsk,ul.,ulica,Mikołajska,Mikołajska,1,,,,146,uc,12896--1,38
3045,119120,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,8,,,,316,uc,02849--8,12
3047,119122,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,18,,,,136,uc,02849--18,21
3050,119125,Słupsk,76-200,Słupsk,pl.,plac,Stary Rynek,Stary Rynek,7,,,,209,uc,21030--7,69
3051,119128,Słupsk,76-200,Słupsk,ul.,ulica,Łukasiewicza,Ignacego Łukasiewicza,6,,,,23,uc,11749--6,52
3053,119131,Słupsk,76-200,Słupsk,ul.,ulica,Mikołajska,Mikołajska,6,,,,326,uc,12896--6,24
3056,119135,Słupsk,76-200,Słupsk,ul.,ulica,Mikołajska,Mikołajska,2,,,,157,uc,12896--2,27
3060,119142,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,20,,,,136,uc,02849--20,9
3061,119144,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,4,,,,126,uc,13378--4,19
3063,119146,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,2,,,,120,uc,13378--2,17
3064,119147,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,21,,,,134,uc,02849--21,17
3065,119149,Słupsk,76-200,Słupsk,ul.,ulica,Mikołajska,Mikołajska,5,,,,326,uc,12896--5,79
3066,119150,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,5,,,,121,uc,13378--5,25
3067,119151,Słupsk,76-200,Słupsk,ul.,ulica,Lutosławskiego,Witolda Lutosławskiego,32,,,,253,uc,26969--32,32
3068,119152,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,13,,,,294,uc,13378--13,68
3069,119154,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,3,,,,119,uc,13378--3,64
3070,119155,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,6,,,,118,uc,13378--6,23
3071,119156,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,2,,,,319,uc,02849--2,11
3072,119157,Słupsk,76-200,Słupsk,ul.,ulica,Kowalska,Kowalska,2,,,,200,uc,09665--2,55
3073,119159,Słupsk,76-200,Słupsk,ul.,ulica,Mikołajska,Mikołajska,4,,,,166,uc,12896--4,43
3074,119160,Słupsk,76-200,Słupsk,ul.,ulica,Chopina,Fryderyka Chopina,1,,,,315,uc,02849--1,23
3077,119164,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,12,,,,304,uc,13378--12,23
3083,119170,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,5,,,,266,uc,19142--5,11
3084,119171,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,7,,,,125,uc,13378--7,63
3085,119173,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,11,,,,307,uc,13378--11,33
3087,119176,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,6,,,,266,uc,19142--6,33
3089,119179,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,7,,,,265,uc,19142--7,27
3090,119180,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,8,,,,268,uc,19142--8,23
3091,119182,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,10,,,,304,uc,13378--10,38
3093,119184,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,10,,,,268,uc,19142--10,15
3094,119185,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,11,,,,264,uc,19142--11,17
3095,119186,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,14,,,,266,uc,19142--14,23
3096,119187,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,15,,,,263,uc,19142--15,22
3097,119188,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,16,,,,266,uc,19142--16,16
3098,119189,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,17,,,,265,uc,19142--17,11
3099,119190,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,18,,,,265,uc,19142--18,18
3100,119191,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,19,,,,272,uc,19142--19,23
3101,119192,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,9,,,,308,uc,13378--9,33
3102,119193,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,12,,,,266,uc,19142--12,26
3103,119194,Słupsk,76-200,Słupsk,ul.,ulica,Rybacka,Rybacka,13,,,,265,uc,19142--13,17
3107,119201,Słupsk,76-200,Słupsk,ul.,ulica,Mostnika,Michała Mostnika,8,,,,293,uc,13378--8,38
3110,119205,Słupsk,76-200,Słupsk,ul.,ulica,Zamkowa,Zamkowa,5,,,,225,uc,25547--5,19
3111,119209,Słupsk,76-200,Słupsk,ul.,ulica,Zamkowa,Zamkowa,4,,,,235,uc,25547--4,27
3114,119215,Słupsk,76-200,Słupsk,ul.,ulica,Zamkowa,Zamkowa,3,,,,235,uc,25547--3,29
3116,119219,Słupsk,76-200,Słupsk,ul.,ulica,Zamkowa,Zamkowa,2,,,,234,uc,25547--2,36
3119,119223,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,2,,,,195,uc,00432--2,68
3120,119224,Słupsk,76-200,Słupsk,ul.,ulica,Zamkowa,Zamkowa,1,,,,233,uc,25547--1,18
3124,119234,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,4,,,,194,uc,00432--4,16
3125,119236,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,20,,,,291,uc,15733--20,12
3126,119237,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,19,,,,290,uc,15733--19,30
3127,119238,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,5,,,,202,uc,00432--5,21
3128,119240,Słupsk,76-200,Słupsk,ul.,ulica,Szarych Szeregów,Szarych Szeregów,10,,,,328,uc,21787--10,21
3129,119241,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,17,,,,292,uc,15733--17,17
3130,119242,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,16,,,,288,uc,15733--16,22
3131,119243,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,6,,,,191,uc,00432--6,13
3132,119245,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,15,,,,288,uc,15733--15,11
3133,119246,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,7,,,,203,uc,00432--7,23
3134,119247,Słupsk,76-200,Słupsk,ul.,ulica,Partyzantów,Partyzantów,13,,,,291,uc,15733--13,3
